puuid,leaguePoints,rank,wins,losses,veteran,inactive,freshBlood,hotStreak
00NFQVlCZKuVg6v4aGZhtYcElpjDRYZlSppFA3W-V2a5995MsWa0cu9WYN3UJyHldSSfvjoFrEstyw,1643.0,I,135.0,78.0,True,False,False,True
zVAS7zA3R9pG6ugtyjn1CXwrHNRtVxc3UDpAKvzFz4bv1MH50XnkZNUAc5EOi6T_U6IeAHl77hM5ZA,1634.0,I,90.0,57.0,False,False,False,True
3BU8yMhRErBnIqCZMiobfMtzjW_1mLxOGLBKQSawr-Y-h2qWqv8kMvlTYkb2xVI2BjX3GOfPBzF6EQ,1608.0,I,106.0,81.0,True,False,False,False
opu30g8lW38A_bPuNzc6SzP3_2umKvJ2k8bjxJ3yW-RbcwnH0tVPOQ7MvjMnRAexvUpd3kQECMr4xQ,1607.0,I,100.0,67.0,False,False,False,False
oi61EpwJSvNGePxj_fIa30xal6tOXVuNd15nLmIo1mkE-flOQLEmx_vpeMFoHJRaG0PRxa8hL7HZzg,1596.0,I,102.0,73.0,False,False,False,True
zOzXMX6rN86qZifSBxlN3xW4lCI-IoE89x4vJgTEvOO5fNJ0kzCKFwj3bJfZ0xVirPrSBsraw8eEvg,1554.0,I,160.0,142.0,True,False,False,True
ehRIMXR658hPTFD0SVrLSyrYYNCPvVThKxIn-7oPvCGpYTHShP1NzOBeL27WI2S5dlv9oDdDZL5-rw,1485.0,I,125.0,101.0,True,False,False,False
9jsbg5K9abDGniQQ_3_MlQWCyq1MUm2X30B86l1CdMNevX_THdx7p4o4mV23vFj01lOD_dB8QTSzxg,1478.0,I,114.0,78.0,True,False,False,False
8XNGv5dCqGrjDD8Gk3Yzfw6hMr_XD6rOw_4rUMgVKx59feqgc3VXsjYInBfkEL8Amg24Xr9e2pJSkw,1469.0,I,101.0,75.0,True,False,False,False
-SoXVzjATHhxFTaiFFxDyNs6GmyR_7BhIE9pDml8iAT49cdTyhV-2xUsBrhTsFv9xtep9hD2k6czcw,1461.0,I,121.0,68.0,True,False,False,False
gxsQIzjxt19ESfVIlrayi_UqmqlMLvJRaaVdgJEZjL9MKRIUVOl1fpaDKyzPlUxihV27FIGVOl9PTQ,1450.0,I,120.0,68.0,False,False,True,False
gz1mMAWg_mpgTBf3FrGnXHxjyO5h5Uk0KA4RrQw3DyXW_1pTunigs_4ZVk50Y1JzggssC_DxGfj7tg,1393.0,I,75.0,56.0,False,False,True,False
BRPCLJDirv9dfdaQ22GRgt21S_HRrHOSKY89BmV0qP5-CMkSPaXRuwtc-yPuSH2WSPxE5nbfSqGx4Q,1383.0,I,96.0,71.0,False,False,False,False
Iz5VFLXN-ydKhakwlTquVrNN4odve1YGBFlUNz0M8m5kNhiKbIrImVIG1MOd8t-YEwhovlK1y2hIvg,1371.0,I,110.0,94.0,True,False,False,False
SH4KLd4IhA6qE0RIv4ucoXy86LM7khGy68Arzz3c3U8oDkX6C0UskZLl9EJTWyfu9nmCt32lvG4M7A,1360.0,I,109.0,74.0,True,False,False,False
iM2bWehuw-nLTJVJ2XNg2sqVqNUBCLGGiPK0V_u6dj3CAtSRcqG3iEW4Dq-BzGCOjCaH6gft1DK6Fw,1345.0,I,96.0,61.0,True,False,False,False
bGLMHFWYU4aX4wOjQ1RtIxEylwfojxIGNlKHwp1kYtey_1b3mfrMOY3xaRB-0l6U23BU3-0NlxNTnQ,1317.0,I,72.0,49.0,False,False,True,True
6dDPGjbQCBBN6375QaMGOk7LWYgWDTqzzPG9RD4x8RVFYi1s8ijMcjHlGB60RcbkFJZSwX-1_LHKPQ,1300.0,I,98.0,89.0,False,False,True,False
jNOo-AW1EdM5dmi9YbBVBwrx9TkdvMYYD0K1NqJh7VPZXuFUKhimCggmlHpQbBZPP0m5gAqPiEcNHQ,1295.0,I,92.0,67.0,False,False,False,False
GYAqqLbaOpbFgOKdhKXk7ABjUKE3fy_G8yWIvy1jHHe9ngOxJEEH-sYId-EbcgJKHCKacbnJFJyWmg,1289.0,I,72.0,46.0,False,False,False,False
XpTbkZku4EVxhzoAyqqZVY24QtL7rjvqpvunTWt81GSD5rjJHjeLD-kBO7GU9Ua12vpY52NeTtsp6Q,1280.0,I,94.0,87.0,False,False,False,True
McUmmNilnv6CgIfhaqnj5eoyPd6H1NnxykBwFGySq8SkkR5b83FmYXukmVphsBqDkOXR5BjmAv8MaQ,1278.0,I,124.0,85.0,True,False,False,False
dyWAt7tfSHxaUfmX4q6pqTLp2lR4aS_BrxF91iF1PBWvG_X7segzkO73Ntf9UY_JCIZE4xgjujoklw,1274.0,I,80.0,59.0,False,False,True,False
p6LAmHjUCZ0xfKXdZbADqH33O3N543fCVnVpY8cMpuC3aE3FzRhBVqxQ2EllFM0PHaQ3KkH-wxwgeg,1273.0,I,82.0,69.0,False,False,False,True
hkxATGh4ROgAaED_pYMH-saxbGks1773g22yN7oqlM6TeVGXkrJ8CKIeBHsdNUCEqDDqgDwXZYsSDQ,1269.0,I,100.0,95.0,False,False,True,False
YbkK5gUIoSZwUsN0ReUJvNjsedPp0u27qJTvCJnBBgnBBaGMCM-1hE24oZI94p68ALDUFkVyaexP5A,1266.0,I,81.0,64.0,False,False,True,False
qYrpYu8A7J8SOvlG6Gk5hrlJxBcJmpcrWnE0-Q48uxOxhGtXdnfo8PxoT7zSO08uU8Ohdz6yljTjmw,1264.0,I,77.0,58.0,False,False,False,False
XQ_yI7fdddLl9GaiME0SHP87q9Z4SU9tPbKfW7lT8QhAJEhfr-NHWprqriRlHn6MRxMg7DqiC_i9EQ,1254.0,I,96.0,90.0,True,False,False,False
j9Lo5PFKac7iFL4Xh8ggJo2zK0v14iA8n6-MrO-8wDzSTSF4xfsICw5DvtQ4HLUfUcB4Evgqlacvtw,1253.0,I,136.0,105.0,True,False,False,True
5ZbsH41THYzt6LeXRcibMx6xHHDFois7KLDukaJSJNLNut_TV6xdHh2lYs5GEitgwVqvNodUh3624g,1242.0,I,109.0,102.0,True,False,False,False
OYFo_MycNoydWtXipSOpq8yA9f5NnbcBS5Mgq3_Ids2DZTdvhZIuQMwRIMEHxBjNTak88eNB-E0FwQ,1233.0,I,121.0,77.0,True,False,False,False
pE5yQaulo2d4uASaGYWzJOylBCtE5CLuo5uFKHL0zK-zYIngve_vAvIL7utmAJ-9JpoCKg-1fcMXVQ,1222.0,I,101.0,84.0,False,False,False,False
diPBH8rWysvm4g3QgoORnBhpmYeC92vAFjsMWhnCEoR2fxAtdIExA66oYriGbfTshDBwzQZo7xutMg,1222.0,I,83.0,69.0,False,False,True,False
i7atT3Mt78wOjWvPv4TQu_y2GoiC060Z-gkTWkdAPOaXpg_l_nGRQ64K_1L8-kAiCrKL1T7PIRTbQA,1221.0,I,120.0,104.0,True,False,False,False
XH1fLevlH4v42WghiEU3A0zqQEmFbiavNXKhrU5PBfrHZQgRGQ-n1UPQfrn4Hc61tQJoKiDGJgXC4Q,1218.0,I,103.0,79.0,False,False,False,False
2MjCwDN0y1-xKUjB4zZPMnWA_hpqhwPulevFS1TuJQxZx-Kl2Q04S09iJSlGvH_sRANmGtey2uF8OQ,1217.0,I,88.0,66.0,False,False,True,False
mSeOXfNTOPNK-UhGht73rUQwUmBXdF9bFzByVskbJGmkkC0w5VkNJVbVYkopUcBrlfBnrTxiOf5b0g,1210.0,I,79.0,48.0,False,False,False,True
WyXMR9chlHQOIXWwSxH2aJiTBDM9f3nGY7sjV9VK1eC6H9rNRFFd6Kv59ynhWDsq1MUIbc3Cr0Y-0A,1208.0,I,78.0,46.0,False,False,False,False
5oarStx2_p8BRKMwDa5lLIA1OIPT2iuI65YT43D71T1FeKwe-Z5hcVUxkNXHxphSu6hvhUFQwRWMWg,1207.0,I,93.0,78.0,False,False,True,False
U39kw9uTC5U04X9G9KMgI-EbS2RR9cYErPfBIsY1-XvxfZZq8GJtvFudnFmtRh4kc711_9bV_VvsiA,1206.0,I,82.0,54.0,False,False,True,False
rFRgf-FathWlJqHIuzOK5chYDU0yGjTfB5yiAHv-YJ8dxVrL71GcWt7Kt_sDPRC0DpmgZVpBsTcffQ,1204.0,I,92.0,60.0,False,False,False,False
iz8dCF9z1OkZxjCT9R_PbIXwkIVJQg_cY8EYrOZ05D3z1fDWJVYWeM07KOgspqWQuR5OWOxqubc-RQ,1200.0,I,85.0,73.0,False,False,False,False
NtWW7_uO5TJExS1z1oZd6IhOitJS9TbAYYSSAA2rMyRWvhF0VghYWTm2H_5FvD-ggv8dBmDKqeFCKg,1197.0,I,76.0,33.0,False,False,False,True
dtYq502t9CtjMPRwTzXWQf1N5q7tEw5Nnl7edgEcbppIChtM9uOQx6dlSkVjlmlvB7K-N33ggloGUA,1196.0,I,103.0,80.0,True,False,False,True
A6qq7ILBl4Mpxw5ARYEny_s5VPSA_5dA4flBqkbJG9jDTnjWE-59X7K5uxz4HV4iMX4MULi5qQ1kiQ,1195.0,I,82.0,63.0,False,False,True,True
